county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Pocahontas County, WV",8,7841,102.03
"Preston County, WV",42,34358,122.24
"Putnam County, WV",130,57260,227.03
"Raleigh County, WV",219,73771,296.86
"Randolph County, WV",51,27806,183.41
"Ritchie County, WV",3,8383,35.79
"Roane County, WV",17,13898,122.32
"Summers County, WV",8,11908,67.18
"Taylor County, WV",9,16492,54.57
"Tucker County, WV",6,6672,89.93
"Tyler County, WV",3,8155,36.79
"Upshur County, WV",31,23791,130.3
"Wayne County, WV",70,38498,181.83
"Webster County, WV",5,8249,60.61
"Wetzel County, WV",11,14170,77.63
"Wirt County, WV",2,5063,39.5
"Wood County, WV",257,83624,307.33
"Wyoming County, WV",7,21051,33.25
"Adams County, WI",8,20875,38.32
"Ashland County, WI",74,16107,459.43
"Barron County, WI",113,46719,241.87
"Bayfield County, WI",29,16320,177.7
"Brown County, WI",860,269591,319
"Buffalo County, WI",7,13302,52.62
"Burnett County, WI",5,16744,29.86
"Calumet County, WI",17,52539,32.36
"Chippewa County, WI",111,66865,166.01
"Clark County, WI",17,34746,48.93
"Columbia County, WI",65,58488,111.13
"Crawford County, WI",20,16075,124.42
"Dane County, WI",4304,563951,763.19
"Dodge County, WI",103,89313,115.32
"Door County, WI",91,30369,299.65
"Douglas County, WI",43,44203,97.28
"Dunn County, WI",51,45547,111.97
"Eau Claire County, WI",614,106452,576.79
"Florence County, WI",7,4593,152.41
"Fond du Lac County, WI",197,104362,188.77
"Forest County, WI",6,9258,64.81
"Grant County, WI",40,52110,76.76
"Green County, WI",87,36988,235.21
"Green Lake County, WI",29,19229,150.81
"Iowa County, WI",36,23756,151.54
"Iron County, WI",3,6178,48.56
"Jackson County, WI",32,21121,151.51
"Jefferson County, WI",75,84943,88.29
"Juneau County, WI",34,26802,126.86
"Kenosha County, WI",269,168732,159.42
"Kewaunee County, WI",20,20543,97.36
"La Crosse County, WI",796,120433,660.95
"Lafayette County, WI",11,16784,65.54
"Langlade County, WI",31,19502,158.96
"Lincoln County, WI",34,28541,119.13
"Manitowoc County, WI",153,81505,187.72
"Marathon County, WI",499,137648,362.52
"Marinette County, WI",80,41875,191.04
"Marquette County, WI",4,15792,25.33
"Menominee County, WI",7,4289,163.21
"Milwaukee County, WI",4454,928059,479.93
"Monroe County, WI",60,46193,129.89
"Oconto County, WI",32,39356,81.31
"Oneida County, WI",140,38259,365.93
"Outagamie County, WI",530,191545,276.7
"Ozaukee County, WI",605,92497,654.08
"Pepin County, WI",10,7364,135.8
"Pierce County, WI",47,42587,110.36
"Polk County, WI",83,45431,182.69
"Portage County, WI",146,70468,207.19
"Price County, WI",12,14050,85.41
"Racine County, WI",292,196896,148.3
"Richland County, WI",23,17212,133.63
"Rock County, WI",327,164381,198.93
"Rusk County, WI",14,14123,99.13
"Sauk County, WI",138,65697,210.06
"Sawyer County, WI",34,18295,185.84
"Shawano County, WI",37,40859,90.56
"Sheboygan County, WI",251,117747,213.17
"St. Croix County, WI",133,95044,139.94
"Taylor County, WI",10,19923,50.19
"Trempealeau County, WI",21,30724,68.35
"Vernon County, WI",53,30915,171.44
"Vilas County, WI",63,23520,267.86
"Walworth County, WI",165,106799,154.5
"Washburn County, WI",31,16752,185.05
"Washington County, WI",215,137175,156.73
"Waukesha County, WI",2392,408756,585.19
"Waupaca County, WI",58,51570,112.47
"Waushara County, WI",16,24828,64.44
"Winnebago County, WI",495,171623,288.42
"Wood County, WI",537,74070,724.99
"Albany County, WY",88,37608,233.99
"Big Horn County, WY",7,11632,60.18
"Campbell County, WY",78,46401,168.1
"Carbon County, WY",20,14649,136.53
"Converse County, WY",23,13672,168.23
"Crook County, WY",6,7315,82.02
"Fremont County, WY",106,39336,269.47
"Goshen County, WY",20,12537,159.53
"Hot Springs County, WY",11,4597,239.29
"Johnson County, WY",19,8623,220.34
"Laramie County, WY",286,100863,283.55
"Lincoln County, WY",28,20153,138.94
"Natrona County, WY",259,79555,325.56
"Niobrara County, WY",3,2438,123.05
"Park County, WY",108,30108,358.71
"Platte County, WY",12,8699,137.95
"Sheridan County, WY",105,31646,331.8
"Sublette County, WY",7,8697,80.49
"Sweetwater County, WY",56,41614,134.57
"Teton County, WY",145,23575,615.06
"Uinta County, WY",27,20635,130.85
"Washakie County, WY",10,7705,129.79
"Weston County, WY",9,6745,133.43
