county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Seneca County, NY",Seneca,NY,23,33688,68.27
"St. Lawrence County, NY",St. Lawrence,NY,216,108051,199.91
"Steuben County, NY",Steuben,NY,191,92948,205.49
"Suffolk County, NY",Suffolk,NY,6039,1526344,395.65
"Sullivan County, NY",Sullivan,NY,103,79806,129.06
"Tioga County, NY",Tioga,NY,34,47980,70.86
"Tompkins County, NY",Tompkins,NY,312,105162,296.69
"Ulster County, NY",Ulster,NY,391,182951,213.72
"Warren County, NY",Warren,NY,263,65618,400.8
"Washington County, NY",Washington,NY,40,60956,65.62
"Wayne County, NY",Wayne,NY,81,90923,89.09
"Westchester County, NY",Westchester,NY,8162,997895,817.92
"Wyoming County, NY",Wyoming,NY,45,40491,111.14
"Yates County, NY",Yates,NY,37,24613,150.33
"Ottawa County, OH",Ottawa,OH,61,40104,152.1
"Paulding County, OH",Paulding,OH,7,18871,37.09
"Perry County, OH",Perry,OH,11,35460,31.02
"Pickaway County, OH",Pickaway,OH,54,59333,91.01
"Pike County, OH",Pike,OH,19,27089,70.14
"Portage County, OH",Portage,OH,244,162382,150.26
"Preble County, OH",Preble,OH,16,40867,39.15
"Putnam County, OH",Putnam,OH,24,34318,69.93
"Richland County, OH",Richland,OH,222,125195,177.32
"Ross County, OH",Ross,OH,150,76891,195.08
"Sandusky County, OH",Sandusky,OH,40,58715,68.13
"Scioto County, OH",Scioto,OH,110,73346,149.97
"Seneca County, OH",Seneca,OH,42,54906,76.49
"Shelby County, OH",Shelby,OH,43,47977,89.63
"Stark County, OH",Stark,OH,1022,373834,273.38
"Summit County, OH",Summit,OH,2123,537633,394.88
"Trumbull County, OH",Trumbull,OH,281,201335,139.57
"Tuscarawas County, OH",Tuscarawas,OH,105,92500,113.51
"Union County, OH",Union,OH,118,64971,181.62
"Van Wert County, OH",Van Wert,OH,26,28732,90.49
"Vinton County, OH",Vinton,OH,2,12696,15.75
"Warren County, OH",Warren,OH,782,246553,317.17
"Washington County, OH",Washington,OH,128,59423,215.4
"Wayne County, OH",Wayne,OH,162,116710,138.81
"Williams County, OH",Williams,OH,44,36716,119.84
"Wood County, OH",Wood,OH,381,132472,287.61
"Wyandot County, OH",Wyandot,OH,13,21708,59.89
"Adair County, OK",Adair,OK,16,19414,82.41
"Alfalfa County, OK",Alfalfa,OK,1,5710,17.51
"Atoka County, OK",Atoka,OK,1,14324,6.98
"Beaver County, OK",Beaver,OK,1,4980,20.08
"Beckham County, OK",Beckham,OK,28,22046,127.01
"Blaine County, OK",Blaine,OK,11,8562,128.47
"Bryan County, OK",Bryan,OK,41,47105,87.04
"Caddo County, OK",Caddo,OK,8,26368,30.34
"Canadian County, OK",Canadian,OK,121,161737,74.81
"Carter County, OK",Carter,OK,88,48291,182.23
"Cherokee County, OK",Cherokee,OK,71,47627,149.08
"Choctaw County, OK",Choctaw,OK,4,14307,27.96
"Cimarron County, OK",Cimarron,OK,0,2248,0
"Cleveland County, OK",Cleveland,OK,556,297597,186.83
"Coal County, OK",Coal,OK,1,5276,18.95
"Comanche County, OK",Comanche,OK,234,122063,191.7
"Cotton County, OK",Cotton,OK,3,5480,54.74
"Craig County, OK",Craig,OK,6,14115,42.51
"Creek County, OK",Creek,OK,29,72029,40.26
"Custer County, OK",Custer,OK,26,28163,92.32
"Delaware County, OK",Delaware,OK,34,41000,82.93
"Dewey County, OK",Dewey,OK,2,4417,45.28
"Ellis County, OK",Ellis,OK,3,3762,79.74
"Garfield County, OK",Garfield,OK,101,61926,163.1
"Garvin County, OK",Garvin,OK,5,25804,19.38
"Grady County, OK",Grady,OK,31,55508,55.85
"Grant County, OK",Grant,OK,3,4131,72.62
"Greer County, OK",Greer,OK,5,5487,91.12
"Harmon County, OK",Harmon,OK,1,2418,41.36
"Harper County, OK",Harper,OK,1,3180,31.45
"Haskell County, OK",Haskell,OK,2,11602,17.24
"Hughes County, OK",Hughes,OK,2,13405,14.92
"Jackson County, OK",Jackson,OK,32,24777,129.15
"Jefferson County, OK",Jefferson,OK,1,5438,18.39
"Johnston County, OK",Johnston,OK,4,10301,38.83
"Kay County, OK",Kay,OK,53,43732,121.19
"Kingfisher County, OK",Kingfisher,OK,10,15204,65.77
"Kiowa County, OK",Kiowa,OK,5,8410,59.45
"Latimer County, OK",Latimer,OK,2,9427,21.22
"Le Flore County, OK",Le Flore,OK,22,48476,45.38
"Lincoln County, OK",Lincoln,OK,12,33829,35.47
"Logan County, OK",Logan,OK,18,50885,35.37
"Love County, OK",Love,OK,3,10216,29.37
"Major County, OK",Major,OK,3,7668,39.12
"Marshall County, OK",Marshall,OK,5,15594,32.06
"Mayes County, OK",Mayes,OK,20,39159,51.07
"McClain County, OK",McClain,OK,34,43516,78.13
"McCurtain County, OK",McCurtain,OK,14,30884,45.33
"McIntosh County, OK",McIntosh,OK,6,19245,31.18
"Murray County, OK",Murray,OK,6,13718,43.74
"Muskogee County, OK",Muskogee,OK,106,66146,160.25
"Noble County, OK",Noble,OK,6,10933,54.88
"Nowata County, OK",Nowata,OK,2,9303,21.5
"Okfuskee County, OK",Okfuskee,OK,2,11197,17.86
"Oklahoma County, OK",Oklahoma,OK,4003,798575,501.27
"Okmulgee County, OK",Okmulgee,OK,17,36843,46.14
"Osage County, OK",Osage,OK,15,45772,32.77
"Ottawa County, OK",Ottawa,OK,30,30340,98.88
"Pawnee County, OK",Pawnee,OK,5,15741,31.76
"Payne County, OK",Payne,OK,119,81989,145.14
"Pittsburg County, OK",Pittsburg,OK,57,43633,130.64
"Pontotoc County, OK",Pontotoc,OK,81,38163,212.25
"Pottawatomie County, OK",Pottawatomie,OK,65,73019,89.02
"Pushmataha County, OK",Pushmataha,OK,2,10815,18.49
"Roger Mills County, OK",Roger Mills,OK,3,3386,88.6
"Rogers County, OK",Rogers,OK,69,96695,71.36
"Seminole County, OK",Seminole,OK,11,23567,46.68
"Sequoyah County, OK",Sequoyah,OK,13,39508,32.9
"Stephens County, OK",Stephens,OK,42,43129,97.38
"Texas County, OK",Texas,OK,11,20865,52.72
"Tillman County, OK",Tillman,OK,2,7076,28.26
"Tulsa County, OK",Tulsa,OK,2211,672858,328.6
"Wagoner County, OK",Wagoner,OK,45,84050,53.54
"Washington County, OK",Washington,OK,68,52772,128.86
"Washita County, OK",Washita,OK,2,10915,18.32
"Woods County, OK",Woods,OK,5,8583,58.25
"Woodward County, OK",Woodward,OK,11,20205,54.44
"Baker County, OR",Baker,OR,22,16847,130.59
"Benton County, OR",Benton,OR,432,96017,449.92
"Clackamas County, OR",Clackamas,OR,1612,422537,381.51
"Clatsop County, OR",Clatsop,OR,95,41810,227.22
"Columbia County, OR",Columbia,OR,24,53074,45.22
"Coos County, OR",Coos,OR,189,64999,290.77
"Crook County, OR",Crook,OR,32,25739,124.33
"Curry County, OR",Curry,OR,35,23683,147.79
"Deschutes County, OR",Deschutes,OR,892,204801,435.54
"Douglas County, OR",Douglas,OR,245,111978,218.79
"Gilliam County, OR",Gilliam,OR,1,2005,49.88
"Grant County, OR",Grant,OR,8,7272,110.01
"Harney County, OR",Harney,OR,10,7575,132.01
"Hood River County, OR",Hood River,OR,150,24057,623.52
"Jackson County, OR",Jackson,OR,901,223734,402.71
"Jefferson County, OR",Jefferson,OR,32,25068,127.65
"Josephine County, OR",Josephine,OR,168,88346,190.16
"Klamath County, OR",Klamath,OR,193,70164,275.07
"Lake County, OR",Lake,OR,11,8276,132.91
"Lane County, OR",Lane,OR,1314,383189,342.91
"Lincoln County, OR",Lincoln,OR,98,50862,192.68
"Linn County, OR",Linn,OR,181,129839,139.4
"Malheur County, OR",Malheur,OR,39,31693,123.06
"Marion County, OR",Marion,OR,856,347119,246.6
"Morrow County, OR",Morrow,OR,8,12303,65.02
"Multnomah County, OR",Multnomah,OR,6311,803377,785.56
"Polk County, OR",Polk,OR,125,89164,140.19
"Sherman County, OR",Sherman,OR,1,1907,52.44
"Tillamook County, OR",Tillamook,OR,65,27748,234.25
"Umatilla County, OR",Umatilla,OR,97,79988,121.27
"Union County, OR",Union,OR,59,26212,225.09
"Wallowa County, OR",Wallowa,OR,20,7545,265.08
"Wasco County, OR",Wasco,OR,87,26726,325.53
"Washington County, OR",Washington,OR,2180,600811,362.84
"Wheeler County, OR",Wheeler,OR,0,1451,0
"Yamhill County, OR",Yamhill,OR,217,108239,200.48
"Adams County, PA",Adams,PA,148,104127,142.13
"Allegheny County, PA",Allegheny,PA,9364,1238090,756.33
"Armstrong County, PA",Armstrong,PA,63,65093,96.78
"Beaver County, PA",Beaver,PA,242,166624,145.24
"Bedford County, PA",Bedford,PA,34,47461,71.64
"Berks County, PA",Berks,PA,949,429342,221.04
"Blair County, PA",Blair,PA,344,121767,282.51
"Bradford County, PA",Bradford,PA,295,59892,492.55
"Bucks County, PA",Bucks,PA,2053,646098,317.75
"Butler County, PA",Butler,PA,413,194273,212.59
"Cambria County, PA",Cambria,PA,344,132167,260.28
"Cameron County, PA",Cameron,PA,2,4459,44.85
"Carbon County, PA",Carbon,PA,55,65412,84.08
"Centre County, PA",Centre,PA,454,157527,288.2
"Chester County, PA",Chester,PA,1752,538649,325.26
"Clarion County, PA",Clarion,PA,27,37156,72.67
"Clearfield County, PA",Clearfield,PA,123,80082,153.59
"Clinton County, PA",Clinton,PA,36,37465,96.09
"Columbia County, PA",Columbia,PA,135,64872,208.1
"Crawford County, PA",Crawford,PA,121,83351,145.17
"Cumberland County, PA",Cumberland,PA,849,262919,322.91
"Dauphin County, PA",Dauphin,PA,1988,287400,691.72
"Delaware County, PA",Delaware,PA,2663,573849,464.06
"Elk County, PA",Elk,PA,33,30783,107.2
"Erie County, PA",Erie,PA,631,269011,234.56
"Fayette County, PA",Fayette,PA,135,126931,106.36
"Forest County, PA",Forest,PA,1,7032,14.22
"Franklin County, PA",Franklin,PA,284,156289,181.71
"Fulton County, PA",Fulton,PA,10,14523,68.86
"Greene County, PA",Greene,PA,27,35369,76.34
"Huntingdon County, PA",Huntingdon,PA,34,43889,77.47
"Indiana County, PA",Indiana,PA,125,82886,150.81
"Jefferson County, PA",Jefferson,PA,45,44114,102.01
"Juniata County, PA",Juniata,PA,6,23297,25.75
"Lackawanna County, PA",Lackawanna,PA,758,215663,351.47
"Lancaster County, PA",Lancaster,PA,1315,553652,237.51
"Lawrence County, PA",Lawrence,PA,104,85497,121.64
"Lebanon County, PA",Lebanon,PA,344,143493,239.73
"Lehigh County, PA",Lehigh,PA,1610,375539,428.72
"Luzerne County, PA",Luzerne,PA,806,326053,247.2
"Lycoming County, PA",Lycoming,PA,297,113605,261.43
"McKean County, PA",McKean,PA,60,39941,150.22
"Mercer County, PA",Mercer,PA,184,109972,167.32
"Mifflin County, PA",Mifflin,PA,75,46136,162.56
"Monroe County, PA",Monroe,PA,247,169273,145.92
"Montgomery County, PA",Montgomery,PA,6138,860578,713.24
"Montour County, PA",Montour,PA,817,18087,4517.06
"Northampton County, PA",Northampton,PA,1065,313628,339.57
"Northumberland County, PA",Northumberland,PA,84,91266,92.04
"Perry County, PA",Perry,PA,17,45986,36.97
"Philadelphia County, PA",Philadelphia,PA,10604,1576251,672.74
"Pike County, PA",Pike,PA,47,59952,78.4
"Potter County, PA",Potter,PA,22,16259,135.31
"Schuylkill County, PA",Schuylkill,PA,157,143264,109.59
"Snyder County, PA",Snyder,PA,29,39621,73.19
"Somerset County, PA",Somerset,PA,85,73627,115.45
"Sullivan County, PA",Sullivan,PA,3,5868,51.12
"Susquehanna County, PA",Susquehanna,PA,30,38389,78.15
"Tioga County, PA",Tioga,PA,41,40929,100.17
"Union County, PA",Union,PA,186,42568,436.95
"Venango County, PA",Venango,PA,91,49938,182.23
"Warren County, PA",Warren,PA,69,38134,180.94
"Washington County, PA",Washington,PA,467,209470,222.94
"Wayne County, PA",Wayne,PA,83,51431,161.38
"Westmoreland County, PA",Westmoreland,PA,740,353057,209.6
"Wyoming County, PA",Wyoming,PA,21,26034,80.66
"York County, PA",York,PA,1016,458696,221.5
"Bristol County, RI",Bristol,RI,403,50818,793.03
"Kent County, RI",Kent,RI,592,170715,346.78
"Newport County, RI",Newport,RI,296,85264,347.16
"Providence County, RI",Providence,RI,3793,658221,576.25
"Washington County, RI",Washington,RI,422,130592,323.14
"Abbeville County, SC",Abbeville,SC,22,24299,90.54
"Aiken County, SC",Aiken,SC,306,170776,179.18
"Allendale County, SC",Allendale,SC,7,7858,89.08
"Anderson County, SC",Anderson,SC,411,206908,198.64
"Bamberg County, SC",Bamberg,SC,6,13189,45.49
"Barnwell County, SC",Barnwell,SC,10,20580,48.59
"Beaufort County, SC",Beaufort,SC,794,191748,414.09
"Berkeley County, SC",Berkeley,SC,301,236701,127.16
"Calhoun County, SC",Calhoun,SC,6,14165,42.36
"Charleston County, SC",Charleston,SC,4109,413024,994.86
"Cherokee County, SC",Cherokee,SC,30,56052,53.52
"Chester County, SC",Chester,SC,18,32209,55.89
"Chesterfield County, SC",Chesterfield,SC,24,43268,55.47
"Clarendon County, SC",Clarendon,SC,31,31024,99.92
"Colleton County, SC",Colleton,SC,45,38462,117
"Darlington County, SC",Darlington,SC,78,62755,124.29
"Dillon County, SC",Dillon,SC,26,28087,92.57
"Dorchester County, SC",Dorchester,SC,184,163327,112.66
"Edgefield County, SC",Edgefield,SC,34,26153,130
"Fairfield County, SC",Fairfield,SC,29,20690,140.16
"Florence County, SC",Florence,SC,507,136504,371.42
"Georgetown County, SC",Georgetown,SC,173,63921,270.65
"Greenville County, SC",Greenville,SC,2425,533834,454.26
"Greenwood County, SC",Greenwood,SC,263,69241,379.83
"Hampton County, SC",Hampton,SC,11,18180,60.51
"Horry County, SC",Horry,SC,864,365579,236.34
"Jasper County, SC",Jasper,SC,23,30324,75.85
"Kershaw County, SC",Kershaw,SC,154,66130,232.87
"Lancaster County, SC",Lancaster,SC,127,100336,126.57
"Laurens County, SC",Laurens,SC,73,67803,107.66
"Lee County, SC",Lee,SC,6,16280,36.86
"Lexington County, SC",Lexington,SC,721,300137,240.22
"Marion County, SC",Marion,SC,34,28784,118.12
"Marlboro County, SC",Marlboro,SC,11,26382,41.7
"McCormick County, SC",McCormick,SC,17,9760,174.18
"Newberry County, SC",Newberry,SC,45,37996,118.43
"Oconee County, SC",Oconee,SC,173,79203,218.43
"Orangeburg County, SC",Orangeburg,SC,124,82962,149.47
"Pickens County, SC",Pickens,SC,245,132229,185.28
"Richland County, SC",Richland,SC,1833,418307,438.19
"Saluda County, SC",Saluda,SC,4,18821,21.25
"Spartanburg County, SC",Spartanburg,SC,771,335864,229.56
"Sumter County, SC",Sumter,SC,195,104758,186.14
"Union County, SC",Union,SC,16,27016,59.22
"Williamsburg County, SC",Williamsburg,SC,14,30484,45.93
"York County, SC",York,SC,432,288595,149.69
"Anderson County, TN",Anderson,TN,180,77576,232.03
"Bedford County, TN",Bedford,TN,31,51119,60.64
"Benton County, TN",Benton,TN,8,15872,50.4
"Bledsoe County, TN",Bledsoe,TN,3,15234,19.69
"Blount County, TN",Blount,TN,277,137605,201.3
"Bradley County, TN",Bradley,TN,157,110162,142.52
"Campbell County, TN",Campbell,TN,35,39578,88.43
"Cannon County, TN",Cannon,TN,9,14553,61.84
"Carroll County, TN",Carroll,TN,24,28432,84.41
"Carter County, TN",Carter,TN,51,56134,90.85
"Cheatham County, TN",Cheatham,TN,43,41523,103.56
"Chester County, TN",Chester,TN,6,17504,34.28
"Claiborne County, TN",Claiborne,TN,33,32267,102.27
"Clay County, TN",Clay,TN,3,7555,39.71
"Cocke County, TN",Cocke,TN,25,36418,68.65
"Coffee County, TN",Coffee,TN,104,59032,176.18
"Crockett County, TN",Crockett,TN,4,13979,28.61
"Cumberland County, TN",Cumberland,TN,103,62451,164.93
"Davidson County, TN",Davidson,TN,5445,703953,773.49
"Decatur County, TN",Decatur,TN,5,11391,43.89
"DeKalb County, TN",DeKalb,TN,11,20478,53.72
"Dickson County, TN",Dickson,TN,67,55292,121.17
"Dyer County, TN",Dyer,TN,43,36615,117.44
"Fayette County, TN",Fayette,TN,51,42832,119.07
"Fentress County, TN",Fentress,TN,15,18850,79.58
"Franklin County, TN",Franklin,TN,73,43215,168.92
"Gibson County, TN",Gibson,TN,42,50541,83.1
"Giles County, TN",Giles,TN,35,30542,114.6
"Grainger County, TN",Grainger,TN,7,23763,29.46
"Greene County, TN",Greene,TN,104,70621,147.27
"Grundy County, TN",Grundy,TN,3,13622,22.02
"Hamblen County, TN",Hamblen,TN,122,64468,189.24
"Hamilton County, TN",Hamilton,TN,1867,369135,505.78
"Hancock County, TN",Hancock,TN,2,6787,29.47
"Hardeman County, TN",Hardeman,TN,15,25426,58.99
"Hardin County, TN",Hardin,TN,23,26892,85.53
"Hawkins County, TN",Hawkins,TN,34,57288,59.35
"Haywood County, TN",Haywood,TN,9,17694,50.86
"Henderson County, TN",Henderson,TN,12,27953,42.93
"Henry County, TN",Henry,TN,70,32239,217.13
"Hickman County, TN",Hickman,TN,12,25307,47.42
"Houston County, TN",Houston,TN,5,8317,60.12
"Humphreys County, TN",Humphreys,TN,10,19211,52.05
"Jackson County, TN",Jackson,TN,2,11750,17.02
"Jefferson County, TN",Jefferson,TN,53,55624,95.28
"Johnson County, TN",Johnson,TN,17,18170,93.56
"Knox County, TN",Knox,TN,2370,486677,486.98
"Lake County, TN",Lake,TN,4,7128,56.12
"Lauderdale County, TN",Lauderdale,TN,11,25108,43.81
"Lawrence County, TN",Lawrence,TN,36,44828,80.31
"Lewis County, TN",Lewis,TN,5,12857,38.89
"Lincoln County, TN",Lincoln,TN,29,35433,81.84
"Loudon County, TN",Loudon,TN,94,56690,165.81
"Macon County, TN",Macon,TN,15,25699,58.37
"Madison County, TN",Madison,TN,491,98775,497.09
"Marion County, TN",Marion,TN,29,28877,100.43
"Marshall County, TN",Marshall,TN,18,34984,51.45
"Maury County, TN",Maury,TN,220,104760,210
"McMinn County, TN",McMinn,TN,57,54059,105.44
"McNairy County, TN",McNairy,TN,16,25860,61.87
"Meigs County, TN",Meigs,TN,8,13049,61.31
"Monroe County, TN",Monroe,TN,24,46698,51.39
"Montgomery County, TN",Montgomery,TN,274,227900,120.23
"Moore County, TN",Moore,TN,3,6644,45.15
"Morgan County, TN",Morgan,TN,7,21254,32.94
"Obion County, TN",Obion,TN,38,30466,124.73
"Overton County, TN",Overton,TN,26,22839,113.84
"Perry County, TN",Perry,TN,2,8472,23.61
"Pickett County, TN",Pickett,TN,4,5079,78.76
"Polk County, TN",Polk,TN,13,17776,73.13
"Putnam County, TN",Putnam,TN,206,81188,253.73
"Rhea County, TN",Rhea,TN,28,33136,84.5
"Roane County, TN",Roane,TN,47,53992,87.05
"Robertson County, TN",Robertson,TN,59,74098,79.62
"Rutherford County, TN",Rutherford,TN,553,352182,157.02
"Scott County, TN",Scott,TN,11,21917,50.19
"Sequatchie County, TN",Sequatchie,TN,12,16396,73.19
"Sevier County, TN",Sevier,TN,95,99517,95.46
"Shelby County, TN",Shelby,TN,4494,924454,486.12
"Smith County, TN",Smith,TN,16,20172,79.32
"Stewart County, TN",Stewart,TN,3,13855,21.65
"Sullivan County, TN",Sullivan,TN,719,159265,451.45
"Sumner County, TN",Sumner,TN,308,200557,153.57
"Tipton County, TN",Tipton,TN,34,61004,55.73
"Trousdale County, TN",Trousdale,TN,7,12035,58.16
"Unicoi County, TN",Unicoi,TN,13,17698,73.45
"Union County, TN",Union,TN,6,20040,29.94
"Van Buren County, TN",Van Buren,TN,2,6324,31.63
"Warren County, TN",Warren,TN,33,41523,79.47
"Washington County, TN",Washington,TN,1066,134236,794.12
"Wayne County, TN",Wayne,TN,4,16409,24.38
"Weakley County, TN",Weakley,TN,46,33036,139.24
"White County, TN",White,TN,22,27650,79.57
"Williamson County, TN",Williamson,TN,1689,255735,660.45
"Wilson County, TN",Wilson,TN,194,151917,127.7
"Anderson County, TX",Anderson,TX,67,58402,114.72
"Andrews County, TX",Andrews,TX,13,18440,70.5
"Angelina County, TX",Angelina,TX,190,86506,219.64
"Aransas County, TX",Aransas,TX,20,24510,81.6
"Archer County, TX",Archer,TX,4,8681,46.08
"Armstrong County, TX",Armstrong,TX,0,1839,0
"Atascosa County, TX",Atascosa,TX,26,49939,52.06
"Austin County, TX",Austin,TX,24,30380,79
"Bailey County, TX",Bailey,TX,3,6835,43.89
"Bandera County, TX",Bandera,TX,22,21565,102.02
"Bastrop County, TX",Bastrop,TX,64,102058,62.71
"Baylor County, TX",Baylor,TX,8,3477,230.08
"Bee County, TX",Bee,TX,16,30924,51.74
"Bell County, TX",Bell,TX,1675,379617,441.23
"Bexar County, TX",Bexar,TX,8167,2028236,402.67
"Blanco County, TX",Blanco,TX,13,11886,109.37
"Borden County, TX",Borden,TX,0,617,0
"Bosque County, TX",Bosque,TX,16,18503,86.47
"Bowie County, TX",Bowie,TX,294,92581,317.56
"Brazoria County, TX",Brazoria,TX,916,379689,241.25
"Brazos County, TX",Brazos,TX,693,237032,292.37
"Brewster County, TX",Brewster,TX,18,9450,190.48
"Briscoe County, TX",Briscoe,TX,0,1403,0
"Brooks County, TX",Brooks,TX,0,6994,0
"Brown County, TX",Brown,TX,59,38192,154.48
"Burleson County, TX",Burleson,TX,14,18051,77.56
"Burnet County, TX",Burnet,TX,80,50954,157
"Caldwell County, TX",Caldwell,TX,26,46791,55.57
"Calhoun County, TX",Calhoun,TX,17,19727,86.18
"Callahan County, TX",Callahan,TX,5,14115,35.42
"Cameron County, TX",Cameron,TX,680,423029,160.75
"Camp County, TX",Camp,TX,15,12616,118.9
"Carson County, TX",Carson,TX,0,5746,0
"Cass County, TX",Cass,TX,11,28560,38.52
"Castro County, TX",Castro,TX,3,7374,40.68
"Chambers County, TX",Chambers,TX,18,48865,36.84
"Cherokee County, TX",Cherokee,TX,75,51097,146.78
"Childress County, TX",Childress,TX,13,6736,192.99
"Clay County, TX",Clay,TX,6,10263,58.46
"Cochran County, TX",Cochran,TX,2,2516,79.49
"Coke County, TX",Coke,TX,2,3321,60.22
"Coleman County, TX",Coleman,TX,11,7735,142.21
"Collin County, TX",Collin,TX,3812,1109462,343.59
"Collingsworth County, TX",Collingsworth,TX,1,2615,38.24
"Colorado County, TX",Colorado,TX,26,20630,126.03
"Comal County, TX",Comal,TX,415,174986,237.16
"Comanche County, TX",Comanche,TX,11,13775,79.85
"Concho County, TX",Concho,TX,1,3341,29.93
"Cooke County, TX",Cooke,TX,33,42244,78.12
"Coryell County, TX",Coryell,TX,33,84232,39.18
"Cottle County, TX",Cottle,TX,0,1381,0
"Crane County, TX",Crane,TX,3,4680,64.1
"Crockett County, TX",Crockett,TX,1,3068,32.59
"Crosby County, TX",Crosby,TX,3,5106,58.75
"Culberson County, TX",Culberson,TX,1,2193,45.6
"Dallam County, TX",Dallam,TX,5,7172,69.72
"Dallas County, TX",Dallas,TX,10945,2586050,423.23
"Dawson County, TX",Dawson,TX,6,12413,48.34
"Deaf Smith County, TX",Deaf Smith,TX,2,18329,10.91
"Delta County, TX",Delta,TX,1,5392,18.55
"Denton County, TX",Denton,TX,1702,941647,180.75
"DeWitt County, TX",DeWitt,TX,11,19918,55.23
"Dickens County, TX",Dickens,TX,1,1740,57.47
"Dimmit County, TX",Dimmit,TX,9,8473,106.22
"Donley County, TX",Donley,TX,3,3268,91.8
"Duval County, TX",Duval,TX,1,9756,10.25
"Eastland County, TX",Eastland,TX,4,17864,22.39
"Ector County, TX",Ector,TX,330,161091,204.85
"Edwards County, TX",Edwards,TX,2,1438,139.08
"El Paso County, TX",El Paso,TX,2139,867947,246.44
"Ellis County, TX",Ellis,TX,193,202678,95.22
"Erath County, TX",Erath,TX,55,43378,126.79
"Falls County, TX",Falls,TX,6,17313,34.66
"Fannin County, TX",Fannin,TX,14,36569,38.28
"Fayette County, TX",Fayette,TX,30,24687,121.52
"Fisher County, TX",Fisher,TX,1,3706,26.98
"Floyd County, TX",Floyd,TX,3,5350,56.07
"Foard County, TX",Foard,TX,0,1080,0
"Fort Bend County, TX",Fort Bend,TX,2633,858527,306.69
"Franklin County, TX",Franklin,TX,5,10464,47.78
"Freestone County, TX",Freestone,TX,4,19774,20.23
"Frio County, TX",Frio,TX,7,18436,37.97
"Gaines County, TX",Gaines,TX,6,21895,27.4
"Galveston County, TX",Galveston,TX,1925,355062,542.16
"Garza County, TX",Garza,TX,1,5863,17.06
"Gillespie County, TX",Gillespie,TX,121,27297,443.27
"Glasscock County, TX",Glasscock,TX,0,1149,0
"Goliad County, TX",Goliad,TX,5,7163,69.8
"Gonzales County, TX",Gonzales,TX,16,19641,81.46
"Gray County, TX",Gray,TX,15,21030,71.33
"Grayson County, TX",Grayson,TX,254,139336,182.29
"Gregg County, TX",Gregg,TX,406,124201,326.89
"Grimes County, TX",Grimes,TX,17,30287,56.13
"Guadalupe County, TX",Guadalupe,TX,171,177036,96.59
"Hale County, TX",Hale,TX,19,32220,58.97
"Hall County, TX",Hall,TX,0,2845,0
"Hamilton County, TX",Hamilton,TX,19,8229,230.89
"Hansford County, TX",Hansford,TX,3,5159,58.15
"Hardeman County, TX",Hardeman,TX,5,3552,140.77
"Hardin County, TX",Hardin,TX,22,56973,38.61
"Harris County, TX",Harris,TX,18838,4728030,398.43
"Harrison County, TX",Harrison,TX,57,69150,82.43
"Hartley County, TX",Hartley,TX,0,5397,0
"Haskell County, TX",Haskell,TX,3,5411,55.44
"Hays County, TX",Hays,TX,365,255397,142.91
"Hemphill County, TX",Hemphill,TX,6,3271,183.43
"Henderson County, TX",Henderson,TX,88,83667,105.18
"Hidalgo County, TX",Hidalgo,TX,1279,880356,145.28
"Hill County, TX",Hill,TX,22,36471,60.32
"Hockley County, TX",Hockley,TX,17,21363,79.58
"Hood County, TX",Hood,TX,87,64222,135.47
"Hopkins County, TX",Hopkins,TX,38,37211,102.12
"Houston County, TX",Houston,TX,13,22241,58.45
"Howard County, TX",Howard,TX,44,34128,128.93
"Hudspeth County, TX",Hudspeth,TX,1,3287,30.42
"Hunt County, TX",Hunt,TX,67,103394,64.8
"Hutchinson County, TX",Hutchinson,TX,13,20495,63.43
"Irion County, TX",Irion,TX,0,1552,0
"Jack County, TX",Jack,TX,4,8712,45.91
"Jackson County, TX",Jackson,TX,9,15121,59.52
"Jasper County, TX",Jasper,TX,22,32975,66.72
"Jeff Davis County, TX",Jeff Davis,TX,2,1949,102.62
"Jefferson County, TX",Jefferson,TX,561,253704,221.12
"Jim Hogg County, TX",Jim Hogg,TX,2,4801,41.66
"Jim Wells County, TX",Jim Wells,TX,35,38847,90.1
"Johnson County, TX",Johnson,TX,195,187280,104.12
"Jones County, TX",Jones,TX,5,19873,25.16
"Karnes County, TX",Karnes,TX,5,14754,33.89
"Kaufman County, TX",Kaufman,TX,85,157768,53.88
"Kendall County, TX",Kendall,TX,229,46788,489.44
"Kenedy County, TX",Kenedy,TX,0,340,0
"Kent County, TX",Kent,TX,0,749,0
"Kerr County, TX",Kerr,TX,192,53161,361.17
"Kimble County, TX",Kimble,TX,6,4365,137.46
"King County, TX",King,TX,0,258,0
"Kinney County, TX",Kinney,TX,1,3130,31.95
"Kleberg County, TX",Kleberg,TX,24,30635,78.34
"Knox County, TX",Knox,TX,2,3351,59.68
"La Salle County, TX",La Salle,TX,0,6670,0
"Lamar County, TX",Lamar,TX,128,50098,255.5
"Lamb County, TX",Lamb,TX,4,12898,31.01
"Lampasas County, TX",Lampasas,TX,22,22252,98.87
"Lavaca County, TX",Lavaca,TX,22,20544,107.09
"Lee County, TX",Lee,TX,6,17706,33.89
"Leon County, TX",Leon,TX,5,15959,31.33
"Liberty County, TX",Liberty,TX,47,97621,48.15
"Limestone County, TX",Limestone,TX,7,22119,31.65
"Lipscomb County, TX",Lipscomb,TX,0,2931,0
