County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Alpena County,MI,23.9,18.7,4.9,0.6,0.6,0.5,1.5,0,1.3,96.8,95.5
Alpine County,CA,26.4,17.7,4.3,25.7,1.6,0.4,12.3,-1,4.4,67.9,61.3
Amador County,CA,27.5,15.1,4.1,2.3,1.7,2.7,14.5,0.3,3.4,89.6,77.3
Amelia County,VA,20.1,20.8,5.5,0.6,0.6,20.4,3.2,0,1.8,76.5,74
Amherst County,VA,21.6,19.3,5.2,0.9,0.6,19.1,2.4,0,2.5,76.9,74.9
Amite County,MS,24.1,20.3,5.3,0.4,0.2,40,1.3,0,0.9,58.6,57.9
Anchorage Municipality,AK,11.7,24,6.9,9.1,10,6,9.4,2.8,8.4,63.8,57.1
Anderson County,KS,21.5,25.7,6.7,0.7,0.7,0.6,2.1,0,1.9,96,94.1
Anderson County,KY,16.3,23.5,6.1,0.3,0.7,2.1,1.9,0,1.8,95.1,93.4
Anderson County,SC,18.3,22.7,5.9,0.3,1,16.3,4,0,1.8,80.5,77.1
Anderson County,TN,20.3,21.2,5.4,0.5,1.5,4.1,3.2,0.1,2.3,91.6,88.9
Anderson County,TX,15,19,5.1,0.7,0.9,21.9,18.2,0.2,1.7,74.5,58.3
Andrew County,MO,19.4,22.9,5.8,0.3,0.6,1.2,2.7,0,1.6,96.3,93.9
Andrews County,TX,9.8,31,8.4,1.5,0.7,2,56.6,0,1.5,94.3,39.9
Androscoggin County,ME,18.2,21.5,5.8,0.4,0.9,4.5,1.9,0,2.4,91.7,90.2
Angelina County,TX,16.6,25.4,6.7,0.8,1.1,15.7,22.7,0.1,1.4,81,59.9
Anne Arundel County,MD,15,22.3,6.1,0.4,4.2,18.3,8.4,0.1,3.3,73.6,66.7
Anoka County,MN,14.5,23.7,6.2,0.9,5,7.4,4.9,0.1,2.9,83.8,79.7
Anson County,NC,19.3,19.8,5.3,0.9,1.5,48.5,4.1,0.1,1.7,47.4,44.3
Antelope County,NE,24.1,23.6,6.6,0.5,0.5,0.4,3.4,-1,0.7,97.9,94.9
Antrim County,MI,28,17.7,4.2,1.3,0.3,0.4,2.5,0.1,1.5,96.5,94.4
