County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Goshen County,WY,22.3,19.6,5.3,1.5,1.1,1.1,10.8,0.1,1.5,94.7,85.2
Gosper County,NE,24.5,21.5,5.4,0.8,0.4,0.8,5.9,-1,1.4,96.6,90.9
Gove County,KS,24.2,24.2,5.8,0.1,0.9,0.6,3.1,0,1.3,97.1,94.3
Grady County,GA,18.5,24.8,6.4,1.3,0.7,29.8,12.1,0.3,1.5,66.5,57.4
Grady County,OK,16.7,23.7,5.6,6.2,0.5,2.3,6,0.1,5.1,85.8,81.1
Grafton County,NH,21.3,16,4,0.4,3.9,1.3,2.5,0,1.9,92.5,90.4
Graham County,AZ,14,26.7,7,13.5,0.7,1.9,33.2,0.2,2,81.7,51
Graham County,KS,28,20.7,3.7,0.8,1.7,3.9,3.9,-1,2.9,90.7,87.8
Graham County,NC,24.5,19.8,4.8,7.9,0.5,0.5,3.7,0.1,2.2,88.6,86.1
Grainger County,TN,20.9,20,4.8,0.5,0.3,1,3.4,0.1,1.2,97,94.1
Grand County,CO,18.5,16.7,3.8,0.9,0.9,1,9.6,0.2,1.9,95.2,86.7
Grand County,UT,19.4,21.5,5.8,4.8,1.5,0.9,10.6,0.1,2.1,90.5,81.9
Grand Forks County,ND,13.3,21.2,6.9,2.9,2.9,4.4,4.7,0.1,2.9,86.8,83.1
Grand Isle County,VT,21.5,18,4.6,1.5,0.6,0.9,2.1,0.1,3,94,92.3
Grand Traverse County,MI,20.8,19.9,5.1,1.3,0.8,0.8,3,0.1,2,95.1,92.7
Granite County,MT,31.6,14.6,3.5,0.9,0.4,0.5,2.4,0,2,96.1,94
Grant County,AR,18.5,22,5.4,0.5,0.4,2.7,3,0.1,1.7,94.7,92.3
Grant County,IN,19.4,20.7,5.7,0.4,1,7.4,4.4,0,2.7,88.4,84.7
Grant County,KS,14.6,29.8,7.3,3,0.6,1,48.5,-1,1.7,93.6,49
Grant County,KY,14,26.2,7.3,0.3,0.5,1,2.9,0.2,1.2,96.8,94.3
Grant County,MN,24,22.6,5.7,0.6,0.4,0.6,2.3,0.1,1.6,96.6,94.8
Grant County,ND,30.6,20.4,5.9,2.1,0.3,0.1,1.5,-1,2,95.6,94.7
Grant County,NE,22.8,24.7,8.5,0.2,0.2,0.5,1.4,-1,1.1,98.1,96.6
Grant County,NM,28.6,19.4,5,2.5,0.9,1.4,50.4,0.2,2.3,92.8,45.8
Grant County,OK,22.3,24,6.1,3,0.3,1.5,5.8,0,3.3,91.9,86.9
Grant County,OR,31.4,17.6,4.7,1.7,0.7,0.3,3.9,0.1,2.9,94.3,91.3
Grant County,SD,21.4,22.5,6.4,1.4,0.4,0.5,5,0.1,1.4,96.3,92.1
Grant County,WA,14,29.3,7.7,2.3,1.2,1.8,42.2,0.2,2.4,92.1,53.3
Grant County,WI,17.7,20.7,5.6,0.3,0.9,1.5,1.8,0,0.8,96.4,94.9
Grant County,WV,25.1,19.4,5.6,0.2,0.2,1.2,1.4,0,1,97.3,96.2
Grant Parish,LA,15.5,20.9,5.7,1.2,0.5,15.4,5.1,0.1,1.9,81,76.7
Granville County,NC,17.7,20.5,5.1,0.9,0.7,31.9,8.5,0.1,1.9,64.5,57.8
Gratiot County,MI,17.8,19.3,4.9,0.7,0.5,6.2,6.3,0,1.4,91.1,85.5
Graves County,KY,18.8,24.1,6.8,0.5,0.5,4.2,7.2,0.1,2.2,92.4,86
Gray County,KS,15.5,28.8,7.8,0.6,0.6,1.9,16.1,0,1.1,95.8,81.4
Gray County,TX,16.1,25.3,6.6,1.6,0.7,5.6,29.8,0,2.2,89.8,62
Grays Harbor County,WA,22.3,20.3,5.2,5.6,1.5,1.4,10.3,0.3,4.1,87.1,79
Grayson County,KY,18.1,23.2,6.3,0.3,0.3,1.2,1.4,0,1.3,97,95.8
Grayson County,TX,17.8,23.7,6.3,1.8,1.6,6.2,14.2,0.1,2.8,87.5,74.6
Grayson County,VA,25.3,16.5,4,0.3,0.2,5.7,3.8,0,1.2,92.5,89.1
Greeley County,KS,19.7,27,7.7,0.8,0.4,0.6,19.6,-1,0.8,97.3,78.6
Greeley County,NE,25.3,23,6.5,0.1,0.1,0.7,2.3,-1,0.7,98.4,96.3
Green County,KY,21.1,20.5,5.4,0.5,0.2,2,1.9,0,1.6,95.7,94.1
Green County,WI,19.3,22.1,5.3,0.4,0.7,0.8,3.1,0.1,1.2,96.8,94.1
Green Lake County,WI,22.8,21.9,5.7,0.6,0.7,1.1,5.2,0,1.1,96.4,91.7
Greenbrier County,WV,23.5,19.5,5.1,0.4,0.6,2.7,2.1,0,1.9,94.3,92.5
Greene County,AL,23.3,21.8,5.7,0.4,0.3,79.9,1.7,-1,0.9,18.5,17.5
Greene County,AR,16.3,24.3,6.6,0.6,0.4,1.8,3,0.4,1.6,95.2,92.6
Greene County,GA,29.3,18.8,5,1.2,1.2,32.9,6.4,0.1,1.4,63.2,58.4
Greene County,IA,22.5,22.9,6.1,0.6,0.6,0.5,3.2,0,1.2,97,94.1
Greene County,IL,20,21.4,5.4,0.3,0.2,1.3,1.3,0,0.8,97.3,96.1
Greene County,IN,19.8,21.6,5.4,0.4,0.4,0.3,1.6,0,1.1,97.8,96.4
Greene County,MO,16.8,20.7,5.8,0.8,2.3,3.5,3.9,0.1,3,90.3,87
Greene County,MS,15.3,19.3,5.1,0.4,0.2,25.4,1.2,0,0.8,73.2,72.2
Greene County,NC,17,19.9,5,2.2,0.6,36.8,15.7,0.3,1.4,58.7,46.6
Greene County,NY,22.7,16.2,4.1,0.5,1.3,6.1,6.3,0,2.2,89.8,84.8
Greene County,OH,17.5,20.6,5.6,0.3,3.1,7.3,3,0.1,3.1,86.1,83.7
Greene County,PA,19.4,19.4,5.2,0.3,0.4,3.7,1.6,0,1.3,94.3,93.1
Greene County,TN,22.1,19.3,4.9,0.4,0.6,2.2,3,0.1,1.3,95.4,92.8
Greene County,VA,17.8,23.8,6.2,0.4,2,7.3,6,0.1,2.6,87.6,82.2
Greenlee County,AZ,13.7,27,7.9,4.1,0.8,2.1,47.7,0.1,2.7,90.1,45.5
Greensville County,VA,15.3,16.4,4.1,0.3,0.7,60.2,2.8,0,1.1,37.8,35.7
Greenup County,KY,21.3,21.4,5.4,0.4,0.6,0.9,1.1,0,1.2,97,96.1
Greenville County,SC,16.1,22.9,6.2,0.5,2.7,18.4,9.5,0.1,2,76.3,68
Greenwood County,KS,25.4,21.7,5.4,1.7,0.4,0.6,4.1,-1,2.7,94.6,91.2
Greenwood County,SC,18.9,22.6,6,0.5,1.3,32.3,6.2,0.1,1.5,64.3,59.4
Greer County,OK,17.8,19.8,5,4,0.3,8.7,12,0.1,3.7,83.2,73.7
Gregg County,TX,15.7,25.7,6.9,1,1.4,20.9,19.2,0.1,2.2,74.4,57
Gregory County,SD,25.8,23.8,6.2,7.6,0.5,0.4,1.7,0.1,2.8,88.6,87.7
Grenada County,MS,18.1,23.7,6.2,0.3,0.5,42.9,1.6,0,1.1,55.3,54.2
Griggs County,ND,30.3,21.1,5.2,0.7,0.2,0.4,1.3,-1,0.4,98.3,97.1
Grimes County,TX,17.8,22.1,5.7,1,0.4,15.5,24.7,0.1,1.9,81.1,58.2
Grundy County,IA,21.2,22.7,5.4,0.2,0.4,0.6,1.4,0.1,0.9,97.9,96.7
Grundy County,IL,14.6,25,6.1,0.4,0.8,1.8,10.5,0.1,1.3,95.6,85.8
Grundy County,MO,22.4,24.1,7.2,0.5,1.1,1,2.4,0,1.4,95.9,93.8
Grundy County,TN,21,21.3,5.7,0.7,0.4,0.7,1.3,0,1.3,97,95.8
Guadalupe County,NM,19.8,20.4,4.8,3.5,1.3,2.4,78.7,-1,2.4,90.4,16.3
Guadalupe County,TX,14.2,24.7,6.1,1,2,8.8,38.5,0.2,2.8,85.1,49.3
Guernsey County,OH,20.1,22,5.9,0.4,0.5,1.6,1.1,0,2.1,95.5,94.6
Guilford County,NC,15.5,22.1,5.8,0.8,5.3,35.4,8.4,0.1,2.5,56,49.4
Gulf County,FL,26.5,18.3,4.7,0.7,0.5,11.3,3,0,2.3,85.1,82.5
Gunnison County,CO,13.7,16.7,4.1,2.7,0.9,0.6,9.6,0,2,93.9,86.8
Guthrie County,IA,22.8,21.9,5.5,0.4,0.3,0.7,2.8,0.1,1.2,97.3,94.6
Gwinnett County,GA,10.5,26.6,6.5,0.8,12.5,29.8,21.7,0.1,2.9,53.8,35.4
Haakon County,SD,25.3,23.3,6.2,2.7,0.3,0.3,1.7,0.1,3.6,93,91.6
Habersham County,GA,18.8,22.3,5.8,1.1,2.3,3.9,15.5,0.3,1.8,90.6,76.9
Haines Borough,AK,21.7,18,4.5,10.8,0.9,0.6,3.6,-1,7.9,79.8,77.1
Hale County,AL,19.7,23,6.8,0.3,0.3,58,1.4,0,0.7,40.7,39.7
Hale County,TX,13.8,26.8,6.5,1.7,0.7,5.8,60.4,0.1,1.5,90.2,32.9
Halifax County,NC,21.4,21.2,5.5,4.1,0.9,53.8,3.1,0.1,1.3,39.9,38
Halifax County,VA,24.8,20.2,5.3,0.4,0.7,36.3,2.2,0,1.5,61.2,59.7
Hall County,GA,15.4,24.8,6.5,0.8,2.1,8.1,29.1,0.2,1.7,87,60.1
Hall County,NE,15.1,27.6,7.8,2.1,1.4,3.8,29,0.5,1.6,90.7,65.1
Hall County,TX,24,22.1,4,1.6,0.5,9.1,35.1,0.1,1.7,87.1,55
Hamblen County,TN,18.5,23,6,0.9,1,4.5,12.1,0.3,2,91.3,81
Hamilton County,FL,18.5,19,5.4,1.1,0.8,33.2,9.8,0,2.1,62.8,54.7
Hamilton County,IA,21,22.8,6.3,0.5,2.4,1.4,6.2,0,1.6,94.1,88.6
Hamilton County,IL,22.4,21.8,5.4,0.4,0.4,0.6,1.9,0,1,97.5,95.9
Hamilton County,IN,12.8,26.6,6.4,0.2,6.5,4.5,4.3,0,2.1,86.6,82.8
Hamilton County,KS,14.5,28.8,6.6,2.1,0.2,3.1,37,0.2,2.1,92.2,59.8
Hamilton County,NE,20.4,24.1,6.6,0.3,0.4,0.5,3.9,0,1.2,97.7,94.1
Hamilton County,NY,31.9,13.7,3.3,0.3,0.8,1.1,2,0.1,1.5,96.2,94.5
Hamilton County,OH,15.7,22.9,6.5,0.3,2.9,26.6,3.6,0.1,2.6,67.6,64.8
Hamilton County,TN,17.9,20.7,5.8,0.5,2.2,19.3,6,0.1,1.9,75.9,70.9
Hamilton County,TX,25.4,21.7,5.8,2,0.9,1,13.4,0.1,1.4,94.7,83.4
Hamlin County,SD,15.5,32.6,9.5,1,0.4,0.6,4.5,0,1.1,96.9,92.9
Hampden County,MA,17.3,21.3,5.4,0.8,2.7,10.9,26.3,0.2,2.8,82.6,61.4
Hampshire County,MA,17.9,14.4,3.3,0.3,5.7,3.4,5.9,0.1,2.5,88,83.3
Hampshire County,WV,23.4,18.1,4.5,0.2,0.3,1.4,1.5,0.1,1.2,96.8,95.6
Hampton County,SC,18.8,21.2,5.3,0.5,0.6,53.1,4.2,0.1,1.5,44.2,41.4
Hampton city,VA,15,21.1,6.1,0.5,2.5,49.9,5.8,0.2,4.2,41.1,38.2
Hancock County,GA,23.8,15.2,3.5,0.6,1,71,2.7,0,0.9,26.5,24.4
Hancock County,IA,22.8,22,5.7,0.3,0.5,1,4.9,0.1,1.1,97,92.5
Hancock County,IL,23.5,20.9,5.3,0.4,0.4,0.6,1.6,0.1,1.1,97.4,96.1
Hancock County,IN,16.5,23.3,5.9,0.3,0.9,3.2,2.6,0,1.7,93.9,91.7
Hancock County,KY,17.7,24.8,6.6,0.4,0.3,1.5,1.7,0,1.1,96.7,95.2
Hancock County,ME,25.3,17,4.3,0.5,1.2,1,1.6,0,1.4,95.8,94.5
Hancock County,MS,20.7,19.9,4.9,0.7,0.9,8.4,3.9,0.1,2.2,87.7,84.5
Hancock County,OH,17.7,22.1,5.9,0.4,2,2.1,5.8,0,1.9,93.7,88.6
Hancock County,TN,21.7,20.9,5.5,0.4,0.2,0.6,0.7,0,1.6,97.1,96.6
Hancock County,WV,23.7,19,4.4,0.2,0.5,2.7,1.6,0,1.6,94.9,93.6
Hand County,SD,25.7,21.6,5.6,0.5,0.4,0.2,1.3,0,1,97.9,96.6
Hanover County,VA,18.4,21.7,5,0.5,1.9,9.5,3.1,0.1,2,86,83.5
Hansford County,TX,15,29.7,7.7,1.8,0.4,1,49.3,0.1,1.4,95.3,48.5
Hanson County,SD,15.5,30.2,7.5,0.8,0.5,0.8,1.5,0,1.4,96.5,95.3
Haralson County,GA,16.2,24,6.3,0.4,0.8,4.5,2,0,1.7,92.5,90.8
Hardee County,FL,17.4,25.5,6.7,1.2,1.1,7.6,43.6,0.1,1.7,88.3,47
Hardeman County,TN,18.6,19,5,0.3,0.8,42.2,1.8,0,1.5,55.2,53.9
Hardeman County,TX,23.2,21.5,4.9,1.2,0.6,5.7,24.2,-1,2.5,90,67.9
Hardin County,IA,22.6,19.5,5,0.4,1.1,1.5,4.5,0.1,1.3,95.6,91.6
Hardin County,IL,26.7,17.5,3.8,0.7,0.5,0.4,2.4,0.1,1.4,96.8,94.5
Hardin County,KY,14.4,24.5,6.7,0.5,2.3,12.7,5.8,0.3,3.8,80.5,75.8
Hardin County,OH,16.3,23.2,6,0.3,0.7,1,1.9,0.1,1.7,96.3,94.6
Hardin County,TN,23.3,20.4,5,0.6,0.6,3.3,2.7,0,1.5,93.9,91.6
Hardin County,TX,16.9,24.4,6.2,0.6,0.7,5.6,6,0,1.5,91.5,86.1
Harding County,NM,39.2,11.2,2.7,2.9,0.3,0.6,46.9,-1,1.3,94.9,52.2
Harding County,SD,18.2,23.9,7.5,2.5,0.2,1.3,2.6,-1,1.9,94,91.8
Hardy County,WV,22.5,20.5,5.3,0.3,0.7,3.2,4.9,0.1,1.7,94.1,89.9
Harford County,MD,16.6,22.2,5.6,0.3,3.1,14.8,4.8,0.1,2.8,78.8,75.1
Harlan County,KY,19.2,23,6.3,0.2,0.4,2.1,1.1,0.1,1.2,95.9,95
Harlan County,NE,27.3,20.9,4.9,0.6,0.2,0.2,2.2,-1,0.9,98,95.9
Harmon County,OK,20.1,25,6.3,3.2,1.7,8.5,30,-1,5.2,81.5,54.8
Harnett County,NC,12.8,25.7,7.3,1.7,1.3,21.9,13.4,0.2,3.5,71.3,60.7
Harney County,OR,24.9,20.1,5.5,4.4,0.6,1,5.1,0,3.3,90.6,86.4
Harper County,KS,23.5,24.7,6.4,1.5,0.5,0.7,6.2,0.2,2.2,94.9,89.7
Harper County,OK,19.6,25.6,5.9,2.3,0.2,0.5,22.6,0.2,2.1,94.6,73.8
Harris County,GA,19.3,21.3,4.9,0.5,1.2,16.7,3.9,0.1,1.9,79.6,76.5
Harris County,TX,10.9,26.4,7.4,1.1,7.3,20,43.7,0.1,2,69.6,28.7
Harrison County,IA,19.9,22.9,5.9,0.4,0.4,0.4,1.9,0,1.3,97.5,95.9
Harrison County,IN,18.1,22.3,5.8,0.3,0.4,0.7,2.1,0.1,1.3,97.1,95.3
Harrison County,KY,18.1,22.7,6.2,0.3,0.3,2.3,2.5,0.1,1.6,95.4,93.4
Harrison County,MO,22.8,24.2,6,0.6,0.4,0.6,2.6,0.1,1.5,96.8,94.6
Harrison County,MS,15.4,23.8,6.5,0.5,2.9,25.9,5.6,0.1,2.8,67.8,63.2
Harrison County,OH,21.8,20.7,5.1,0.2,0.2,2.1,1.2,0,1.7,95.8,94.8
Harrison County,TX,17.4,24.9,6.1,1.2,0.8,21.1,13.6,0.1,1.8,75,63
Harrison County,WV,19.8,21.2,5.4,0.2,0.6,1.9,1.7,0,1.7,95.5,94
Harrisonburg city,VA,9,16.3,5.1,0.1,3.9,7.4,19.7,0,6.7,80.4,66.1
Hart County,GA,22.1,20.7,5.3,0.2,1.2,19.1,3.8,0,1.7,77.8,74.6
Hart County,KY,16.7,24.6,7.4,0.3,0.5,4.5,1.9,0,1.8,92.9,91.3
Hartford County,CT,17.4,20.9,5.4,0.6,6.1,15.8,18.8,0.1,2.6,74.8,59.9
Hartley County,TX,15.4,20.9,5.7,0.8,0.8,7,27.9,0,1.2,90.1,63.2
Harvey County,KS,19.8,24,5.7,1,1.1,1.8,12.1,0.1,2.5,93.5,82.4
Haskell County,KS,15.6,27.9,6.6,1.5,0.8,0.6,31.4,0.3,1.6,95.2,65.9
Haskell County,OK,20.4,23.4,5.7,17.7,0.9,0.9,4.7,0.1,7.4,73.1,69.8
Haskell County,TX,22.4,16.9,3.9,1.1,0.9,4.8,28.6,-1,2.4,90.8,64.6
Hawaii County,HI,21.9,21.4,5.7,0.6,21.2,0.8,12.9,12.8,30.5,34,30.2
Hawkins County,TN,21.7,19.5,4.7,0.4,0.6,1.5,1.7,0,1.2,96.3,94.9
Hayes County,NE,28,23.4,8.1,0.5,0.4,0.4,5.4,0.1,1.1,97.4,92.1
Hays County,TX,11.4,22.9,6.1,1.2,1.7,4.6,40.1,0.1,2.3,90,52.5
Haywood County,NC,25,18.2,4.9,0.7,0.6,1.4,4.3,0,1.4,95.9,92.2
Haywood County,TN,19.7,22.2,5.5,0.4,0.3,50.6,4.3,0.1,1.3,47.3,44
Heard County,GA,18.3,22.1,5.4,0.5,0.5,9.8,2.9,0,2.3,86.9,84.6
Hemphill County,TX,15.9,30.2,6.7,1.6,1.3,0.8,34.2,0.1,1.2,95,62.6
Hempstead County,AR,18.5,25.7,7,0.7,0.5,30.5,13.3,0.2,2.4,65.7,53.9
Henderson County,IL,25.4,18.3,5.1,0.3,0.5,0.6,1.9,0.1,1.3,97.2,95.6
Henderson County,KY,18.3,22.8,5.8,0.4,0.6,8.4,2.8,0.1,2.1,88.4,86.1
Henderson County,NC,26.4,18.7,4.8,0.7,1.3,3.4,10.3,0.2,1.9,92.5,83.1
Henderson County,TN,18.9,22.6,5.8,0.4,0.4,7.8,2.5,0,2,89.5,87.4
Henderson County,TX,22.4,21.3,5.4,0.9,0.7,6.4,13.6,0.1,2,89.8,77.4
Hendricks County,IN,14.2,24.7,5.7,0.3,3.1,7.8,4.3,0.1,2.1,86.6,82.9
Hendry County,FL,13.8,26.7,7.3,2,1,11.8,55.3,0.2,1.7,83.3,31.3
Hennepin County,MN,14.5,21.8,6.3,1.1,7.5,13.8,7,0.1,3.3,74.2,68.4
Henrico County,VA,15.9,22.4,6,0.4,9.1,30.9,6,0.1,2.6,57,52.2
Henry County,AL,23.4,20.4,5.2,0.5,0.4,25.9,2.7,0,1.6,71.6,69.5
Henry County,GA,11.9,25.3,5.8,0.4,3.4,48.4,7.2,0.1,2.6,45.1,40
Henry County,IA,19.5,21.5,5.6,0.4,2.6,2.8,5.1,0.2,1.7,92.4,87.7
Henry County,IL,20.9,22.1,5.5,0.3,0.5,2,6,0,1.6,95.6,90.2
Henry County,IN,19.3,20.3,4.8,0.2,0.5,2.7,2,0,1.4,95.1,93.3
Henry County,KY,18,23.2,6,0.4,0.4,3,3.4,0.1,2,94.1,91.1
Henry County,MO,22.1,21.8,5.7,0.8,0.4,1.2,2.6,0.1,2,95.5,93.3
Henry County,OH,19.1,23.1,5.9,0.5,0.5,0.8,7.8,0,1.2,97,89.9
Henry County,TN,23.8,20.4,5.2,0.4,0.6,7.6,2.9,0,1.9,89.4,87
Henry County,VA,24.5,19.2,4.5,0.4,0.5,22.6,5.8,0.1,2,74.4,69.5
Herkimer County,NY,21.2,20.4,5,0.3,0.6,1.5,2.3,0,1.5,96,94.2
Hernando County,FL,27.5,18.2,4.5,0.5,1.4,6.1,14.8,0.1,2.3,89.6,76.5
Hertford County,NC,20.4,18.5,4.5,1.3,0.8,61,4.1,0.1,1.4,35.5,32.7
Hettinger County,ND,22,25.1,8.1,3.6,0.4,0.6,2.8,0.2,2.4,92.9,90.7
Hickman County,KY,26.4,18.3,4.4,0.3,0.4,9.4,2,0,2.2,87.6,85.8
Hickman County,TN,17.9,20.6,5.4,0.7,0.4,5,2.6,0,1.6,92.3,90
Hickory County,MO,33.3,16.7,4.4,1.1,0.3,0.6,2,0.1,1.9,96,94.2
Hidalgo County,NM,22.5,22.6,6.3,1.5,0.6,1.8,58,0.2,1.4,94.5,38.9
Hidalgo County,TX,11.3,32.1,8.6,0.5,1,0.9,92.5,0,0.5,97,5.9
Highland County,OH,18.9,23.6,6.3,0.4,0.4,1.5,1.3,0,1.8,95.8,94.9
Highland County,VA,35.5,13.3,4.4,0.3,0.6,1.1,1.1,-1,0.3,97.6,96.7
Highlands County,FL,36,16.8,4.3,0.7,1.5,10.5,21.1,0.1,1.8,85.4,66.1
Hill County,MT,15.3,27.9,9.1,24.9,0.5,0.6,4,0.1,3.4,70.5,68.3
Hill County,TX,21,23.1,5.9,1,0.7,6.7,21.2,0.1,1.9,89.6,70
Hillsborough County,FL,14.5,22.1,6,0.5,4.4,18,29.7,0.1,2.9,74.1,47.7
Hillsborough County,NH,16.2,20.2,5.2,0.3,4.5,3.2,7.3,0.1,2.1,89.9,83.8
Hillsdale County,MI,20.2,21.5,5.7,0.6,0.5,0.7,2.4,0,1.5,96.7,94.5
Hinds County,MS,14.8,23.9,6.3,0.1,0.7,73.1,1.6,0,0.9,25.1,23.9
Hinsdale County,CO,31.5,15,3.3,1.3,1,1.5,5.7,-1,3,93.2,88.4
Hitchcock County,NE,26.5,22.7,5.4,0.7,0.2,0.3,3.4,-1,1.1,97.8,94.7
Hocking County,OH,19.5,21.7,5.4,0.4,0.4,0.7,1.1,0,1.5,97,96.1
Hockley County,TX,15,25.7,6.8,1.3,0.5,4,48.7,0.1,1.3,92.8,46.2
Hodgeman County,KS,24.4,22.9,6.4,0.6,4.3,1.3,6.9,-1,1.5,92.3,85.6
Hoke County,NC,10.6,27.1,8.3,9.1,1.5,35.5,13.9,0.4,4.5,49,38.7
Holmes County,FL,20,20.4,5.6,1.1,0.7,6.7,2.9,0.2,2.4,88.9,86.4
Holmes County,MS,15.7,25,6.5,0.2,0.3,83.1,1.2,0,0.8,15.7,15.2
Holmes County,OH,14,30.7,8.2,0.1,0.2,0.4,1,0,0.7,98.6,97.7
Holt County,MO,26.2,20.2,5.1,1.3,0.4,0.5,1.6,0,1.3,96.5,95.1
Holt County,NE,22,25.3,6.8,0.8,0.5,0.4,5.5,0.1,0.9,97.2,92.5
Honolulu County,HI,18.2,21,6.1,0.3,42.9,2.8,10,9.6,22.8,21.6,17.9
Hood County,TX,25,21.1,5.4,1,0.9,1.2,12.8,0.1,1.5,95.4,83.5
Hood River County,OR,16.3,23.6,6.1,1.3,1.8,0.8,31.9,0.2,2.6,93.3,63
Hooker County,NE,30.9,21,5.6,0.4,0.3,-1,2.9,-1,1.8,97.5,95
Hoonah-Angoon Census Area,AK,24,17.8,4.6,38.1,1,2.2,6,0.2,9.7,48.8,46.6
Hopewell city,VA,15.5,25.7,7.4,0.1,1.4,43.5,7.9,0,2.4,50.9,46.5
Hopkins County,KY,19,22.7,6,0.3,0.6,6.8,2.2,0.1,2.2,90,88.2
Hopkins County,TX,18.6,24.2,6.3,1,0.7,7.4,17.4,0.1,2,88.7,72.8
Horry County,SC,25.1,17.6,4.5,0.6,1.4,12.9,6.1,0.1,2.1,82.9,77.7
Hot Spring County,AR,19.3,20.6,5.1,0.6,0.4,11.3,3.7,0.1,2.1,85.4,82.3
Hot Springs County,WY,27.7,20.6,4.9,1.9,0.6,0.7,4.5,0.1,1.9,94.8,90.9
Houghton County,MI,17.9,20.3,5.3,0.8,3,0.9,1.8,0,1.7,93.5,92.1
Houston County,AL,18.1,22.9,6.3,0.5,1.1,27.4,3.4,0.1,2.1,68.8,66.1
Houston County,GA,13,25.5,6.6,0.4,3.3,32.9,6.6,0.2,3,60.2,54.9
Houston County,MN,22,21.9,5.6,0.3,0.7,0.7,1.2,0,1.5,96.7,95.7
Houston County,TN,20.8,21.1,5.2,0.5,0.5,3,2.5,0.1,2.2,93.8,91.7
Houston County,TX,22.5,19.8,4.9,0.7,0.8,25.2,11.6,0,1.4,71.9,61.5
Howard County,AR,18.1,26.2,7.1,1.4,0.6,21.1,13.2,0.1,1.8,75,63.3
Howard County,IA,20.9,24.9,6.7,0.3,0.4,0.7,1.7,0.1,1.1,97.5,96.1
Howard County,IN,19.9,22.7,6,0.4,1.3,7.9,3.5,0,2.8,87.5,84.6
Howard County,MD,14.3,24.2,5.9,0.4,19.3,20.4,7.3,0.1,3.9,55.9,50.3
Howard County,MO,19.7,21.8,5.7,0.8,0.3,5.2,1.7,0.1,2.2,91.4,90.2
Howard County,NE,21.6,24.1,6.3,0.6,0.5,0.5,2.3,0.1,0.9,97.3,95.6
Howard County,TX,13.1,21.9,6.4,1.6,1.2,7,43.4,0.1,1.9,88.2,47.9
Howell County,MO,20.1,23.9,6.4,0.8,0.7,0.6,2.2,0.1,1.8,96,94.1
Hubbard County,MN,25.2,21.2,5.3,2.9,0.6,0.5,2.4,0.1,2.1,93.8,92.3
Hudson County,NJ,12.2,20.3,6.9,1.1,16.4,14.8,42.7,0.2,2.7,64.7,29
Hudspeth County,TX,15.9,20.8,5.4,2,1.6,3.8,76.9,0.2,2.3,90.2,17.2
Huerfano County,CO,32.1,16.1,3.8,5.3,0.9,1.4,33.9,0.3,3.3,88.7,61.6
Hughes County,OK,19,21.8,6,20.4,0.3,5.8,5.9,0.1,7.7,65.7,61.9
Hughes County,SD,18,24.2,6.7,12.1,0.8,0.7,3.2,0,2.8,83.6,81.6
Humboldt County,CA,18.6,18.9,5.1,6.4,2.9,1.5,12.1,0.3,5.7,83.2,73.8
Humboldt County,IA,22.1,23.4,6.1,0.4,0.5,0.9,4.5,0,1.3,96.9,93.1
Humboldt County,NV,14.4,26.9,7,4.9,0.9,1.1,27.5,0.3,3,89.7,64.7
Humphreys County,MS,17.7,26,5.6,0.2,0.4,75.8,3.8,0.1,1.2,22.3,20
Humphreys County,TN,20.2,21.5,5.6,0.6,0.5,2.8,2.6,0,1.7,94.4,92.3
Hunt County,TX,16,23.8,6.3,1.3,1.5,8.2,17.6,0.2,2.2,86.5,70.4
Hunterdon County,NJ,19.4,19.1,4.3,0.2,4.4,2.7,7,0.2,1.5,91,84.8
Huntingdon County,PA,21.4,17.6,4.3,0.2,0.8,6,2.1,0,1.3,91.8,90.2
Huntington County,IN,17.5,21.6,5.6,0.6,0.6,0.8,2.8,0,1.3,96.7,94.3
Huron County,MI,25.9,19.2,5.1,0.4,0.7,0.7,2.6,0,0.9,97.3,94.9
Huron County,OH,17.6,24,6.4,0.3,0.4,1.4,6.9,0,1.7,96.1,89.9
Hutchinson County,SD,22.9,25.3,8.5,1.4,0.2,1.1,2.3,0,1.1,96.2,94.3
Hutchinson County,TX,17.1,25.3,6.6,2.1,0.8,3,24.1,0.1,2.3,91.7,69.5
Hyde County,NC,22.6,17,3.7,0.8,0.7,26.7,9.8,0,1.7,70.1,61.8
Hyde County,SD,25.1,21.5,6.3,9,0.2,0.8,1.5,0.1,2.5,87.5,86.7
Iberia Parish,LA,15.7,25.6,7,0.6,2.7,32.8,4.3,0.1,1.9,61.9,58.6
Iberville Parish,LA,16.4,20.3,5.5,0.3,0.5,48.4,2.8,0,1.1,49.7,47.7
Ida County,IA,22,24.6,5.9,0.3,0.7,0.5,3.2,0.1,1.1,97.4,94.4
Idaho County,ID,28.6,19.3,4.7,3.3,0.6,0.5,3.6,0.1,2.2,93.4,90.6
Imperial County,CA,13.3,28.5,8,2.5,2.1,3.3,85,0.2,1.7,90.2,10
